iter	Accuracy	MultiClass
427	0.8588145897	0.5024676755
428	0.858801925	0.5024639651
429	0.8589412361	0.5023105548
430	0.859118541	0.5011450121
431	0.8592451874	0.5010717947
432	0.8593085106	0.5010326629
433	0.8593085106	0.501029843
434	0.8593338399	0.500990365
435	0.8593465046	0.5009888314
436	0.8593211753	0.5009873472
437	0.8593211753	0.5009840821
438	0.8593844985	0.5009681524
439	0.8593971631	0.5009658767
440	0.8594224924	0.5004643866
441	0.8593971631	0.5004616657
442	0.8593971631	0.5004587964
443	0.8593971631	0.5004566196
444	0.8593971631	0.500454245
445	0.8594098278	0.5004518704
446	0.8594098278	0.5004497926
447	0.8595997974	0.5000019789
448	0.8596631206	0.4996569663
449	0.859789767	0.4992357186
450	0.8598910841	0.499017402
451	0.8598910841	0.4989614995
452	0.8598910841	0.4989591249
453	0.8599037487	0.4989569976
454	0.8599417427	0.4985465346
455	0.8600810537	0.4981121771
456	0.8602963526	0.4968350767
457	0.8604356636	0.4965251888
458	0.8604609929	0.4965094075
459	0.8604609929	0.4963428872
460	0.8604483283	0.496340661
461	0.8605369807	0.4959935212
462	0.8606129686	0.495631639
463	0.8606129686	0.4956175892
464	0.8606129686	0.4956159567
465	0.8606636272	0.4955994827
466	0.8606889564	0.4950656385
467	0.8607016211	0.494985594
468	0.8608535968	0.4940546934
469	0.8608535968	0.4940523683
470	0.8608662614	0.4939778646
471	0.8608915907	0.4939764794
472	0.86091692	0.4938280656
473	0.86091692	0.4938256415
474	0.8608915907	0.493558101
475	0.861056231	0.4933291481
476	0.8610309017	0.4933167803
477	0.8610309017	0.4933149003
478	0.8610309017	0.4932451459
479	0.8610435664	0.4932429197
480	0.8611828774	0.4927746248
481	0.8612462006	0.4923971097
482	0.8612462006	0.4921117595
483	0.8612588652	0.4920323087
484	0.8612968592	0.4919545893
485	0.8613348531	0.4916082906
486	0.8615628166	0.491093839
487	0.8616134752	0.4908088846
488	0.8616134752	0.4908063616
489	0.8616008105	0.4907318579
490	0.8616134752	0.4907297801
491	0.8616008105	0.4907278507
492	0.8616134752	0.4907257729
493	0.8616008105	0.4905236829
494	0.8616388045	0.4905013713
495	0.8617907801	0.4898490929
496	0.8617654509	0.4898135725
497	0.862006079	0.4889933887
498	0.8622467072	0.4884493038
499	0.8622593718	0.4884471766
500	0.8622720365	0.488444802
501	0.8622593718	0.4884353529
502	0.8622593718	0.4884337204
503	0.8623100304	0.4882051137
504	0.8623353597	0.4880259289
505	0.8624113475	0.4877499288
506	0.8625886525	0.487286581
507	0.862816616	0.4865194798
508	0.8628926039	0.4860615739
509	0.8628926039	0.4860583583
510	0.8629179331	0.4860567752
511	0.8629179331	0.4860548953
512	0.8630952381	0.4859128138
513	0.8630825735	0.4859104887
514	0.8631079027	0.4857027094
515	0.8631585613	0.4854258683
516	0.8631205674	0.4851372036
517	0.8632345491	0.4847353486
518	0.8632218845	0.484733815
519	0.8636144883	0.4840140578
520	0.8636398176	0.4838362581
521	0.8636904762	0.4836082945
522	0.8638424519	0.4833059263
523	0.8638551165	0.4830135512
524	0.8642477204	0.4821694232
525	0.8644756839	0.481850581
526	0.8644756839	0.4818486516
527	0.8646403242	0.4814712849
528	0.8647922999	0.4810074425
529	0.8649316109	0.4807151663
530	0.8649316109	0.4807124454
531	0.8649442756	0.4807103181
532	0.8649442756	0.4805534448
533	0.8650202634	0.4804021122
534	0.8651595745	0.4801717246
535	0.865070922	0.4799581077
536	0.8651849037	0.4798252774
537	0.865387538	0.4792175231
538	0.8654255319	0.4790696041
539	0.8654888551	0.4787976111
540	0.8655395137	0.478773766
541	0.8657294833	0.4785412016
542	0.8658941236	0.477462481
543	0.8658941236	0.4774529331
544	0.8659067882	0.477442643
545	0.8662234043	0.4764331821
546	0.866198075	0.4763957324
547	0.866198075	0.4763941988
548	0.8662360689	0.476171034
549	0.8662234043	0.4761697972
550	0.8662360689	0.4760624941
551	0.8662360689	0.4759290206
552	0.8662360689	0.4759273881
553	0.8662234043	0.4758948855
554	0.8662360689	0.4758814788
555	0.8661854103	0.4758714856
556	0.8662740628	0.4757425635
557	0.8662740628	0.4755068824
558	0.866337386	0.475336355
559	0.8663627153	0.4753347225
560	0.8663627153	0.475332991
561	0.866337386	0.4753247293
562	0.8663500507	0.4753091458
563	0.8668059777	0.4744729333
564	0.8668186424	0.473952842
565	0.8668059777	0.4739512589
566	0.8668059777	0.4739492306
567	0.866831307	0.4738154604
568	0.8668439716	0.4734421503
569	0.8668566363	0.4734401714
570	0.8669326241	0.4732717218
571	0.8669326241	0.4732460957
572	0.8671099291	0.472766373
573	0.8671099291	0.4722893712
574	0.8672239108	0.4715846038
575	0.8672239108	0.4715831196
576	0.8673632219	0.4711696884
577	0.8672492401	0.4709859521
578	0.8672492401	0.4709841712
579	0.8672619048	0.4709825881
580	0.8677684904	0.4700330864
581	0.8677684904	0.4700316517
582	0.8677684904	0.4700186902
583	0.867781155	0.4699926189
584	0.8678191489	0.4699227655
585	0.8678191489	0.4699212319
586	0.8678318136	0.4697485277
587	0.8679078014	0.4694967191
588	0.8679331307	0.4693799174
589	0.8679331307	0.4693701221
590	0.8680217832	0.4692925512
591	0.8682624113	0.4688020932
592	0.8683004053	0.4687105714
593	0.8682877406	0.4687087904
594	0.8682877406	0.4687066137
595	0.8683637285	0.4685948087
596	0.8684777102	0.468530595
597	0.868414387	0.4683153456
598	0.8683637285	0.4682495488
599	0.8686043566	0.4669309916
600	0.8687436677	0.46690868
601	0.8687436677	0.4665380414
602	0.8687816616	0.4664489932
603	0.868908308	0.4663536621
604	0.8689842958	0.4662925156
605	0.8689842958	0.4659523513
606	0.8689969605	0.4659150499
607	0.8690222898	0.4657502612
608	0.8689842958	0.465738586
609	0.8691236069	0.4655918048
610	0.8691869301	0.4654332
611	0.8692502533	0.4653835308
612	0.8693262411	0.4649911249
613	0.86954154	0.4643724869
614	0.8695668693	0.4640258418
615	0.8695668693	0.464024605
616	0.8694402229	0.4638961282
617	0.8693642351	0.4638419077
618	0.8695288754	0.4636117674
619	0.8700101317	0.4621796242
